written report . ||| kursen examineras i form av en skriftlig rapport
important concepts are decomposing a sequential program into parallel threads ( or parallel data ) , balancing the load across ( parallel ) architectural resources , reducing communication , and synchronizing parallel activity ( e.g. , parallel threads ) . ||| uppdelning av programmen i parallella trådar ( eller parallella data ) , lastbalansering över de tillgängliga resurserna , minimering av kommunikation mellan de olika delarna samt synkronisering av parallella aktiviteter ( exempelvis trådar ) , är viktiga principer .
lab assignments will specifically focus on shared-memory machines , highlighting ramifications of different memory coherence strategies for different kinds of workloads . ||| laborationsuppgifter rör specifikt arkitekturer med delat minne , med fokus på skilda strategier för minneskoherens och deras inverkan vid olika lastfall .
the fourth part focuses on design principles for ( shared memory ) small-scale parallel computers under shared memory , e.g. , design principles for multi-core microprocessors to support thread-level parallelism . ||| den fjärde delen behandlar designprinciper för mindre parallella datorer med delat minne , till exempel principer för moderna multicore-processorer med stöd för trådparallellism .
important concepts covered are cache coherence and consistency . ||| två viktiga koncept är cache-koherens och - konsistens .
we study bus-based snoopy-cache protocols , the inclusion property , and multi-phase protocols . ||| vi studerar buss-baserade cache-protokoll , inklusive flerfasprotokoll .
the fifth part deals with scalability of parallel computers , i.e. , architectural techniques for scaling the number of processors to a higher count , specifically with respect to cache coherence protocols . ||| den femte delen behandlar skalbarhet hos parallella datorer , det vill säga ariktetkurtekniker för att öka antalet processorer i ett parallellt system , speciellt med avseende på cache-koherensprotokollen .
the sixth part deals with interconnection networks , an essential component in chip multiprocessors and scalable parallel computer systems . ||| den sjätte delen handlar de kommunikationsnätverk som är en essentiell del av chip-multiprocessorer och skalbara parallella datorsystem .
concepts covered are routing , switching , and topology design for scalable interconnects . ||| vi behandlar routing , switching och val av topologi för skalbara nätverk .
a common thread running through all parts is a discussion of cost tradeoffs with respect to performance , power , energy , verifiability , programmability , and maintainability . ||| ett genomgående tema i kursens alla delar är avvägningar mellan prestanda , effektbehov , energibehov , verifierbarhet , programmerbarhet och underhåll .
a second unifying theme is the memory bottleneck , and the importance of efficient resource management . ||| ett andra sammanhållande tema är minnesflaskhalsen och vikten av effektiv resurshantering .
example project topics include multithreading , relaxed memory consistency models , prefetching , and memory access scheduling . ||| exempel på ämnen är multitrådshantering , svagare modeller för minneskonsistens , prefetching och schemaläggning av minnesåtkomster .
multi-week written project , rather than a conventional exam . ||| skriftligt projekt över flera veckor snarare än en konventionell tentamen .
students will master the terminology and key concepts of parallel computer architecture in order to follow the research advances in this field ; ||| studenterna kommer att behärska terminologi och nyckelbegrepp inom parallelldatorarkitektur för att kunna följa fältets utveckling ;
understand the principles behind parallel computer organization ( especially principles for the design of the communication substrate to support different programming models ) ; ||| förstå principerna bakom parallelldatororganisation ( särskilt de konstruktionsprinciper för kommunikationssubstratet som stödjer olika programmeringsmodeller ) ;
understand different models of parallelism from a historical perspective ; ||| förstå olika modeller för parallellism ur ett historiskt perspektiv ;
and exhibit basic skills in the design of software for parallel computers and understanding of the issues involved in designing efficient parallel software . ||| och uppvisa grundläggande färdigheter i konstruktion av mjukvara för parallella datorer samt förståelse för de överväganden som påverkar effektiviteten hos parallell programvara .
students will strengthen communication skills and demonstrate their learning through participating in lectures , labs , and smaller project-group meetings ; ||| specifikt kommer studenterna att förbättra sin kommunikativa förmåga och demonstrera sina insikter genom att delta i föreläsningar , laborationer och projektmöten ;
